"id";"name";"affiliation";"citedby";"pub_title";"pub_year";"citations";"pub_author";"eprint"
2714;"Sarmad Hussain";"Professor, Center for Language Engineering, KICS-UET";52804;"Podocyte depletion causes glomerulosclerosis: Diphtheria toxin–induced podocyte depletion in rats expressing human diphtheria toxin receptor transgene";"2005";579;"Bryan L Wharram and Meera Goyal and Jocelyn E Wiggins and Silja K Sanden and Sabiha Hussain and Wanda E Filipiak and Thomas L Saunders and Robert C Dysko and Kenji Kohno and Lawrence B Holzman and Roger C Wiggins";"https://jasn.asnjournals.org/content/jnephrol/16/10/2941.full.pdf"
2715;"Kazuhiro Iida";"Professor, Spatial Hearing Laboratory, Chiba Institute of Technology, Japan";1005;"Estimation of sound source elevation by extracting the vertical localization cues from binaural signals";"2008";4;"Kazuhiro Iida";"https://asa.scitation.org/doi/pdf/10.1121/1.2980020?class=pdf"
2716;"Prof. Dr. Darius P. Zlotos";"German University in Cairo";894;"New spectrofluorimetric methods for determination of melatonin in the presence of N-{2-[1-({3-[2-(acetylamino)ethyl]-5-methoxy-1H-indol-2-yl}methyl)-5-methoxy-1H-indol-3-yl …";"2012";7;"Darwish Hany W and Attia Mohamed I and Zlotos Darius P";""
2717;"Todd D Ringler";"Scientist, Los Alamos National Laboratory";2481;"A co-volume scheme for the rotating shallow water equations on conforming non-orthogonal grids";"2013";13;"Qingshan Chen and Todd Ringler and Max Gunzburger";"http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.706.1894&rep=rep1&type=pdf"
2718;"Hanan Tork";"Assist. Professor of pediatric Nursing, Qassim University";131;"A multi‐university assessment of patient safety competence during clinical training among baccalaureate nursing students: A cross‐sectional study";"2019";2;"Nahed Alquwez and Jonas Preposi Cruz and Farhan Alshammari and Ebaa Marwan Felemban and Joseph U Almazan and Regie B Tumala and Hawa M Alabdulaziz and Fatmah Alsolami and John Paul Ben T Silang and Hanan MM Tork";""
2719;"Xudong Wang";"university of Wisconsin Madison";18325;"High-performance pentacene field-effect transistors using Al2O3 gate dielectrics prepared by atomic layer deposition (ALD)";"2007";135;"Xiao-Hong Zhang and Benoit Domercq and Xudong Wang and Seunghyup Yoo and Takeshi Kondo and Zhong Lin Wang and Bernard Kippelen";"http://www.nanoscience.gatech.edu/zlwang/paper/2007/07_OE_1.pdf"
2720;"Dr. Manoj Kumar Jhariya";"Assistant Professor, Department of Farm Forestry, Sant Gahira Guru Vishwavidyalaya, Sarguja";469;"Influences of Forest Fire on Forest Floor and Litterfall in Bhoramdeo Wildlife Sanctuary (C.G.), India";"1970";7;"M.K. Jhariya";""
2721;"Holger Hoos";"Professor of Computer Science, Leiden University & University of British Columbia";23694;"Sequential model-based optimization for general algorithm configuration";"2011";1008;"Frank Hutter and Holger H Hoos and Kevin Leyton-Brown";"https://www.cs.ubc.ca/labs/beta/Projects/SMAC/papers/11-LION5-SMAC-slides.pdf"
2722;"NanShan Chang";"Unknown affiliation";3489;"Hyaluronidase enhancement of TNF-mediated cell death is reversed by TGF-β1";"1997";22;"Nan-Shan Chang";"https://www.researchgate.net/profile/Nan-Shan_Chang/publication/13793993_Hyaluronidase_enhancement_of_TNF-mediated_cell_death_is_reversed_by_TGF-b1/links/0c960516a844c95c36000000.pdf"
2723;"Nicolas Le Poul";"CNRS Researcher, UMR 6521, University of Brest, France";720;"Aza and cyanobridged tripodal dinuclear copper (II) complexes: Electrochemical studies and structural evidence for an original azacyanocarbanion";"2014";1;"Antoine Gomila and Bénédicte Douziech and Nathalie Cosquer and Nicolas Le Poul and François Michaud and Carlos J Gomez-Garcia and Yves Le Mest and Françoise Conan";""
2724;"Javid Gaziev";"BMT Program Director. National Center for Cancer Care and Research. Hamad Medical Corporation. Doha";3221;"Bone marrow transplantation for transfused patients with severe aplastic anemia using cyclophosphamide and total lymphoid irradiation as conditioning therapy: long-term follow …";"1970";19;"Djavid Gaziev and Claudio Giardini and Mariella Galimberti and Guido Lucarelli and Emanuele Angelucci and Paola Polchi and Donatella Baronciani and Buket Erer and Guido and Sotti";"https://www.researchgate.net/profile/Paola_Polchi2/publication/12845248_Bone_marrow_transplantation_for_transfused_patients_with_severe_aplastic_anemia_using_cyclophosphamide_and_total_lymphoid_irradiation_as_conditioning_therapy_Long-term_follow-up_from_a_single_center/links/0a85e5315f122a9636000000.pdf"
2725;"Mersini Makropoulou";"Proffessor, Physics Department, NTUA";877;"Line optical tweezers: A tool to induce transformations in stained liposomes and to estimate shear modulus";"2009";6;"E Spyratou and EA Mourelatou and A Georgopoulos and C Demetzos and M Makropoulou and AA Serafetinides";""
2726;"Christopher Jarrold";"Professor in Cognitive Development";10480;"An experimental approach to executive fingerprinting in young children";"2002";86;"Michael Beveridge and Christopher Jarrold and Esther Pettit";""
2727;"Ming-June Tsai";"National Cheng Kung University";1403;"An amorphous SiC/Si heterojunction pin diode for low-noise and high-sensitivity UV detector";"1992";51;"YK Fang and S-B Hwang and K-H Chen and C-R Liu and M-J Tsai and L-C Kuo";""
2728;"Fajer Mushtaq";"PhD student, ETH Zurich";459;"Robotically controlled microprey to resolve initial attack modes preceding phagocytosis";"2017";9;"Simone Schuerle and Ima Avalos Vizcarra and Jens Moeller and Mahmut Selman Sakar and Berna Özkale and André Machado Lindo and Fajer Mushtaq and Ingmar Schoen and Salvador Pané and Viola Vogel and Bradley J Nelson";""
2729;"Jes Olesen";"Professor i Neurologi";74403;"Muscle tenderness and pressure pain thresholds in headache. A population study";"1993";362;"Rigmor Jensen and Birthe Krogh Rasmussen and Birthe Pedersen and Jes Olesen";""
2730;"Minggang Hu";"Xi'an Modern Chemistry Research Institute";293;"New isothiocyanato liquid crystals containing thieno[3,2-b]thiophene central core";"2018";2;"Xiaozhe Yang and Lingchao Mo and Minggang Hu and Jian Li and Juanli Li and Ran Chen and Zhongwei An";""
2731;"Jacques andre astolfi";"Unknown affiliation";1103;"Flexible hydrofoil optimization for the 35th America's Cup with constrained EGO method";"2018";3;"Matthieu Sacher and Mathieu Durand and Elisa Berrini and Frédéric Hauville and Régis Duvigneau and Olivier Le Maitre and Jacques-André Astolfi";""
2732;"Titilayo Fashemi";"Brigham and Women Hospital";154;"Gene expression profiling of human vaginal cells in vitro discriminates compounds with pro-inflammatory and mucosa-altering properties: Novel biomarkers for preclinical testing …";"2015";13;"Irina A Zalenskaya and Theresa Joseph and Jasmin Bavarva and Nazita Yousefieh and Suzanne S Jackson and Titilayo Fashemi and Hidemi S Yamamoto and Robert Settlage and Raina N Fichorova and Gustavo F Doncel";"https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0128557"
2733;"Yaroslav Kudryavtsev";"Institute of Petrochemical Synthesis, Russian Academy of Sciences, Moscow";1029;"Phase diagrams of block copolymer melts by dissipative particle dynamics simulations";"2013";49;"Alexey A Gavrilov and Yaroslav V Kudryavtsev and Alexander V Chertovich";"https://www.researchgate.net/profile/Yaroslav_Kudryavtsev/publication/259314306_Phase_diagrams_of_block_copolymer_melts_by_dissipative_particle_dynamics_simulations/links/557f2d9908aeea18b7795f9e.pdf"
2734;"Sarah Richardson";"Ecologist, Landcare Research, New Zealand";4213;"Root traits are multidimensional: specific root length is independent from root tissue density and the plant economic spectrum";"2016";90;"Kris R Kramer‐Walter and Peter J Bellingham and Timothy R Millar and Rob D Smissen and Sarah J Richardson and Daniel C Laughlin";""
2735;"Ruey-Bing Yang";"Institute of Biomedical Sciences, Academia Sinica";10413;"Transgenic overexpression of the secreted, extracellular EGF-CUB domain-containing protein SCUBE3 induces cardiac hypertrophy in mice";"2007";22;"Hsin-Yu Yang and Ching-Feng Cheng and Bambang Djoko and Wei-Shiung Lian and Cheng-Fen Tu and Ming-Tzu Tsai and Yen-Hui Chen and Chien-Chang Chen and Chien-Jui Cheng and Ruey-Bing Yang";"https://academic.oup.com/cardiovascres/article/75/1/139/293460"
2736;"Yen-Da Chen (陳彥達)";"Department of Computer Information and Network Engineering Lunghwa University of Science and";149860;"Observation of a new particle in the search for the Standard Model Higgs boson with the ATLAS detector at the LHC";"2012";15021;"Georges Aad and Tatevik Abajyan and B Abbott and J Abdallah and S Abdel Khalek and Ahmed Ali Abdelalim and O Abdinov and R Aben and B Abi and M Abolins and OS AbouZeid and H Abramowicz and H Abreu and BS Acharya and L Adamczyk and DL Adams and TN Addy and J Adelman and S Adomeit and P Adragna and T Adye and S Aefsky and JA Aguilar-Saavedra and M Agustoni and M Aharrouche and SP Ahlen and F Ahles and A Ahmad and M Ahsan and G Aielli and T Akdogan and TPA Åkesson and G Akimoto and AV Akimov and MS Alam and MA Alam and J Albert and S Albrand and M Aleksa and IN Aleksandrov and F Alessandria and C Alexa and G Alexander and G Alexandre and T Alexopoulos and M Alhroob and M Aliev and G Alimonti and J Alison and BMM Allbrooke and PP Allport and SE Allwood-Spiers and J Almond and A Aloisio and R Alon and A Alonso and F Alonso and A Altheimer and B Alvarez Gonzalez and MG Alviggi and K Amako and C Amelung and VV Ammosov and SP Amor Dos Santos and A Amorim and N Amram and C Anastopoulos and LS Ancu and N Andari and T Andeen and CF Anders and G Anders and KJ Anderson and A Andreazza and V Andrei and M-L Andrieux and XS Anduaga and S Angelidakis and P Anger and A Angerami and F Anghinolfi and A Anisenkov and N Anjos and A Annovi and A Antonaki and M Antonelli and A Antonov and J Antos and F Anulli and M Aoki and S Aoun and L Aperio Bella and R Apolle and G Arabidze and I Aracena and Y Arai and ATH Arce and S Arfaoui and J-F Arguin and E Arik and M Arik and AJ Armbruster and O Arnaez and V Arnal and C Arnault and A Artamonov and G Artoni and D Arutinov and S Asai and S Ask and B Åsman and L Asquith and K Assamagan and A Astbury and M Atkinson and B Aubert and E Auge and K Augsten and M Aurousseau and G Avolio and R Avramidou and D Axen and G Azuelos and Y Azuma and MA Baak and G Baccaglioni and C Bacci and AM Bach and H Bachacou and K Bachas and M Backes and M Backhaus and J Backus Mayes and E Badescu and P Bagnaia and S Bahinipati and Y Bai and DC Bailey and T Bain and JT Baines and OK Baker and MD Baker and S Baker and P Balek and E Banas and P Banerjee and Sw Banerjee and D Banfi and A Bangert and V Bansal";"https://www.sciencedirect.com/science/article/pii/S037026931200857X"
2737;"Li-Wei Ko";"National Chiao Tung University";2858;"Fuzzy adaptive synchronization of time-reversed chaotic systems via a new adaptive control strategy";"2013";19;"Shih-Yu Li and Cheng-Hsiung Yang and Shi-An Chen and Li-Wei Ko and Chin-Teng Lin";"https://ir.nctu.edu.tw/bitstream/11536/21016/1/000313774200031.pdf"
2738;"Milena Tsvetkova";"London School of Economics and Political Science";283;"Understanding human-machine networks: a cross-disciplinary survey";"2017";22;"Milena Tsvetkova and Taha Yasseri and Eric T Meyer and J Brian Pickering and Vegard Engen and Paul Walland and Marika Lüders and Asbjørn Følstad and George Bravos";"https://arxiv.org/pdf/1511.05324"
2739;"Ehsan Ahmadi";"Ialamic Azad university, Lenjan Branch, Esfahan, Iran";1211;"Performance evaluation of magnetized multiwall carbon nanotubes by iron oxide nanoparticles in removing fluoride from aqueous solution";"2015";8;"Ali Azari and Ali Esrafili and Ehsan Ahmadi and Mitra Gholami";"http://jmums.mazums.ac.ir/files/site1/user_files_0d0bf0/nouri70-A-10-5029-1-f8c3abc.pdf"
2740;"Hideaki Yoshimura";"The University of Tokyo";528;"Live Cell Imaging of Endogenous RNAs Using Pumilio Homology Domain Mutants: Principles and Applications";"2017";4;"Hideaki Yoshimura";""
2741;"Chien Hung Lai (賴建宏)";"Chung Yuan";31145;"Adaptive communication application programming interface";"2009";1408;"";""
2742;"Ronald K. Vogel";"Professor, Ryerson University";1885;"Governing Large Cities: A Comparative Perspective";"2005";2;"Ronald K Vogel";"https://munkschool.utoronto.ca/imfg/uploads/64/vogel_governing_large_cities_2005.pdf"
2743;"stefano ricagno";"professor of biochemistry, University of Milan";1611;"The two tryptophans of β2-microglobulin have distinct roles in function and folding and might represent two independent responses to evolutionary pressure";"2011";12;"Sara Raimondi and Nicola Barbarini and Palma Mangione and Gennaro Esposito and Stefano Ricagno and Martino Bolognesi and Irene Zorzoli and Loredana Marchese and Cristina Soria and Riccardo Bellazzi and Maria Monti and Monica Stoppini and Mario Stefanelli and Paolo Magni and Vittorio Bellotti";"https://bmcevolbiol.biomedcentral.com/articles/10.1186/1471-2148-11-159"
2744;"Yoshikazu Fukuyama";"School of Interdiciplinary Mathematical Science, Meiji University";6000;"An application of artificial neural network to dynamic economic load dispatching";"1991";20;"Y Fukuyama and Y Ueki";""
2745;"Dr. Hanumesh Vaidya";"Associate Professor, Department of Studies in Mathematics, Vijayanagara Sri Krishnadevaraya";226;"Hall effect on MHD flow and heat transfer over a stretching sheet with variable thickness";"2016";9;"KV Prasad and K Vajravelu and Hanumesh Vaidya";""
2746;"Alexey Kuvshinov";"South Ural State University (Южно-Уральский государственный университет)";40;"Исследование механизмов радиационной карбонизации поливинилиденфторида на основе анализа кинетических параметров";"1970";2;"Алексей Михайлович Кувшинов and Леонид Абрамович Песин and Михаил Владимирович Кузнецов and Игорь Васильевич Грибов and Наталья Анатольевна Москвина and Вадим Львович Кузнецов and Сергей Евгеньевич Евсюков";"https://cyberleninka.ru/article/n/issledovanie-mehanizmov-radiatsionnoy-karbonizatsii-polivinilidenftorida-na-osnove-analiza-kineticheskih-parametrov"
2747;"Ralf Wimmer";"University of Freiburg, Germany and Concept Engineering GmbH, Freiburg, Germany";905;"Skolem Functions for DQBF";"2016";6;"Karina Wimmer and Ralf Wimmer and Christoph Scholl and Bernd Becker";"https://www.freidok.uni-freiburg.de/fedora/objects/freidok:11130/datastreams/FILE1/content"
2748;"Hajime Nakamura";"National Defense Academy of Japan";681;"Analysis of unsteady heat transfer in the wake behind a circular cylinder in a uniform flow by a vortex and heat element method";"2001";4;"Hajime Nakamura and Kyoji Kamemoto and Tamotsu Igarashi";"https://apps.dtic.mil/dtic/tr/fulltext/u2/a396146.pdf#page=234"
2749;"Patrick Keyzer";"Professor of Law, La Trobe University";479;"Private Trusts and Succession Planning for the Severely Disabled of Cognitively Impaired in Australia";"1970";8;"Terry Carney and Patrick Keyzer";"https://blr.scholasticahq.com/article/5503.pdf"
2750;"Malik Naumann";"Universität Bremen";1491;"Benthic primary production budget of a Caribbean reef lagoon (Puerto Morelos, Mexico)";"2013";19;"Malik S Naumann and Carin Jantzen and Andreas F Haas and Roberto Iglesias-Prieto and Christian Wild";"https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0082923"
2751;"Dennis A. Bazylinski";"University of Nevada at Las Vegas";14521;"Intercellular structure in a many-celled magnetotactic prokaryote";"1990";116;"Frank G Rodgers and Richard P Blakemore and Nancy A Blakemore and Richard B Frankel and Dennis A Bazylinski and Denise Maratea and Christine Rodgers";"https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1147&context=phy_fac"
2752;"Jennifer E Johnson";"Michigan State University";2886;"Feasibility of an HIV/STI risk-reduction program for incarcerated women who have experienced interpersonal violence";"2015";12;"Jennifer E Johnson and Marlanea E Peabody and Wendee M Wechsberg and Rochelle K Rosen and Karen Fernandes and Caron Zlotnick";"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4429003/"
2753;"Hyo-Jong Lee";"Dong-A University";709;"Microstructure and Pattern Size Dependence of Copper Corrosion in Submicron-Scale Features";"2011";2;"Ui-hyoung Lee and Hyoung Jin Jeon and Tak Kang and Hun-Joon Sohn and Kyu Hwan Oh and Eun Kyu Her and Heung Nam Han and HW Lee and Insoo Kim and Donggyu Kim and Sung-Keun Lee and Hyo-Jong Lee";"http://engineering.snu.ac.kr/pdf%5C2011(14)%5C2011_LUH_Microstructure%20and%20pattern%20size%20dependence%20of%20copper%20corrosion%20in%20submicron-scale%20features.pdf"
2754;"Anthony Milner";"Australian national university";2452;"A Note on'The Rawa'";"1978";8;"AC Milner";""
2755;"M. Harrison";"Language Learning Books Author";41465;"The effects of water stress on abscisic-acid levels and metabolism in roots of Phaseolus vulgaris L. and other plants";"1976";150;"Daniel C Walton and Michael A Harrison and Peter Cotê";""
2756;"Jian-Sheng Wang";"Department of Physics, National University of Singapore";14812;"The two-dimensional random bond Ising model at criticality—a Monte Carlo study";"1990";77;"JS Wang and W Selke and Vl S Dotsenko and VB Andreichenko";""
2757;"Robert Kennicutt";"Professor of Astronomy, University of Cambridge";60140;"Star formation in NGC 5194 (M51a): the panchromatic view from GALEX to Spitzer";"2005";449;"Daniela Calzetti and RC Kennicutt Jr and L Bianchi and DA Thilker and DA Dale and CW Engelbracht and C Leitherer and MJ Meyer and ML Sosey and M Mutchler and MW Regan and MD Thornley and L Armus and GJ Bendo and S Boissier and A Boselli and Bruce T Draine and KD Gordon and G Helou and DJ Hollenbach and L Kewley and BF Madore and DC Martin and EJ Murphy and George H Rieke and Marcia J Rieke and Hervé Roussel and K Sheth and JD Smith and F Walter and BA White and Sukyoung Yi and NZ Scoville and M Polletta and D Lindler";"https://arxiv.org/pdf/astro-ph/0507427"
2758;"Nathan Shapiro";"Beth Israel Deaconess MEdical Center";17481;"Early increases in microcirculatory perfusion during protocol-directed resuscitation are associated with reduced multi-organ failure at 24 h in patients with sepsis";"2008";344;"Stephen Trzeciak and Jonathan V McCoy and R Phillip Dellinger and Ryan C Arnold and Michael Rizzuto and Nicole L Abate and Nathan I Shapiro and Joseph E Parrillo and Steven M Hollenberg";"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2821162/"
2759;"Romain Guilhaumou";"Pharmacologie, APHM";155;"Population pharmacokinetics and pharmacogenetics of vincristine in paediatric patients treated for solid tumour diseases";"2011";20;"Romain Guilhaumou and Nicolas Simon and Sylvie Quaranta and Arnauld Verschuur and Bruno Lacarelle and Nicolas Andre and Caroline Solas";""
2760;"Song-Ping Zhu";"Professor of Mathematics, University of Wollongong, Australia";2497;"An inverse finite element method for pricing American options";"2013";15;"Song-Ping Zhu and Wen-Ting Chen";""
2761;"Claus Brøndgaard Madsen";"Associate Professor, lektor, Aalborg University";1382;"Poster: Brush, lasso, or magic wand? picking the right tool for large-scale multiple object selection tasks";"2012";4;"Rasmus Stenholt and Claus B Madsen";""
2762;"Kazuhiro Iida";"Professor, Spatial Hearing Laboratory, Chiba Institute of Technology, Japan";1005;"A novel head-related transfer function model based on spectral and interaural difference cues";"1970";4;"Kazuhiro Iida and Motokuni Itoh and Atsue Itagaki and Masayuki Morimoto";"http://www.iida-lab.it-chiba.ac.jp/literature/International.Conference.Proceedings/25.Parametric%20HRTF%20A%20novel%20Head-Related%20Transfer%20Function%20model~%20.pdf"
2763;"Andrey Afanasyev";"Leading researcher, Institute of Mechanics, Moscow State University";241;"О построении конечно-разностной схемы расчёта фильтрации при околокритических термодинамических условиях";"2013";5;"Андрей Александрович Афанасьев and Олег Эдуардович Мельник";"http://journal.permsc.ru/index.php/ccm/article/download/CCMv6n2a28/597"
2764;"jianhui wu";"McGill University";1413;"Bridging structural biology and genetics by computational methods: An investigation into how the R774C mutation in the AR gene can result in complete androgen insensitivity …";"2004";1;"Jian Hui Wu and Bruce Gottlieb and Gerald Batist and Traian Sulea and Enrico O Purisima and Lenore K Beitel and Mark Trifiro";""
2765;"Fabio Orlandi";"Perugia University";1153;"Phenological investigations of different winter-deciduous species growing under Mediterranean conditions";"2007";7;"Fabio Orlandi and Tommaso Bonofiglio and Luigia Ruga and Carlo Sgromo and Bruno Romano and Marco Fornaciari";""
2766;"Loay Saeed";"Project Researcher, D.Sc. (Tech), Åbo Akademi University, Laboratory of Thermal and Flow Engineering";170;"Comparison between two-stage waste combustion with HCl recovery and conventional incineration plants";"2002";26;"Loay Saeed and Ron Zevenhoven";""
2767;"Christopher Jarrold";"Professor in Cognitive Development";10480;"The development of memory maintenance: Children’s use of phonological rehearsal and attentional refreshment in working memory tasks";"2010";85;"Helen Tam and Christopher Jarrold and Alan D Baddeley and Maura Sabatos-DeVito";"https://www.cse.iitk.ac.in/users/se367/11/papers/tam-jarrold-10_development-of-memory-rehearsal-and-attention.pdf"
2768;"Shaobin Wang";"Professor, School of Chemical Engineering, The University of Adelaide, Australia";29877;"Co-SBA-15 for heterogeneous oxidation of phenol with sulfate radical for wastewater treatment";"2011";162;"Pradeep Shukla and Hongqi Sun and Shaobin Wang and H Ming Ang and Moses O Tadé";""
2769;"Prof. Dr. Darius P. Zlotos";"German University in Cairo";894;"6H, 13H-Pyrazino [1, 2-a; 4, 5-a′] diindole analogs: Probing the pharmacophore for allosteric ligands of muscarinic M2 receptors";"2006";7;"Darius P Zlotos and Christian Tränkle and Aliaa Abdelrahman and Daniela Gündisch and Krzysztof Radacki and Holger Braunschweig and Klaus Mohr";""
2770;"Ming-June Tsai";"National Cheng Kung University";1403;"Robotic polishing of precision molds with uniform material removal control";"2009";47;"Ming-June Tsai and JF Huang and WL Kao";""
2771;"Xudong Wang";"university of Wisconsin Madison";18325;"Mesoporous Single‐Crystal ZnO Nanowires Epitaxially Sheathed with Zn2SiO4";"2004";132;"XD Wang and Christopher J Summers and Zhong Lin Wang";"http://nanoscience.gatech.edu/paper/2004/04_AM_01.pdf"
2772;"Todd D Ringler";"Scientist, Los Alamos National Laboratory";2481;"Impact of variable-resolution meshes on midlatitude baroclinic eddies using CAM-MPAS-A";"2014";11;"Sara A Rauscher and Todd D Ringler";"https://journals.ametsoc.org/doi/pdf/10.1175/MWR-D-13-00366.1"
2773;"Steininger, Karl";"University of Graz";1999;"Solar electricity supply isolines of generation capacity and storage";"2015";11;"Wolf Grossmann and Iris Grossmann and Karl W Steininger";"https://www.pnas.org/content/pnas/112/12/3663.full.pdf"
2774;"Honglei Xu";"Curtin University";892;"Sampled-data synchronization control for chaotic neural networks subject to actuator saturation";"2017";29;"Hong-Bing Zeng and Kok Lay Teo and Yong He and Honglei Xu and Wei Wang";"https://www.researchgate.net/profile/Honglei_Xu2/publication/314204482_Sampled-data_Synchronization_Control_for_Chaotic_Neural_Networks_Subject_to_Actuator_Saturation/links/5c4023ea299bf12be3cdabc7/Sampled-data-Synchronization-Control-for-Chaotic-Neural-Networks-Subject-to-Actuator-Saturation.pdf"
2775;"Mersini Makropoulou";"Proffessor, Physics Department, NTUA";877;"Line Optical Tweezers: a tool to investigate stained liposomes transformations and to determine shear modulus";"1970";6;"E Spyratou and M Makropoulou and AA Serafetinides";""
2776;"Yaroslav Kudryavtsev";"Institute of Petrochemical Synthesis, Russian Academy of Sciences, Moscow";1029;"Acidic hydrolysis of polyacrylonitrile: effect of neighboring groups";"2001";43;"Liya B Krentsel and Yaroslav V Kudryavtsev and Alexandr I Rebrov and Arkady D Litmanovich and Nicolai A Plate";""
2777;"Zhang Xiao 张翛";"Tongji University, Shanxi Transportation Research Institute";13987;"Contextualism as an important facet of individualism-collectivism: Personhood beliefs across 37 national groups";"2013";73;"Ellinor Owe and Vivian L Vignoles and Maja Becker and Rupert Brown and Peter B Smith and Spike WS Lee and Matt Easterbrook and Tanuja Gadre and Xiao Zhang and Mirona Gheorghiu and Peter Baguma and Alexander Tatarko and Said Aldhafri and Martina Zinkeng and Seth J Schwartz and Sabrina E Des Rosiers and Juan A Villamar and Kassahun Habtamu Mekonnen and Camillo Regalia and Claudia Manzi and Maria Brambilla and Ersin Kusdil and Selinay Çağ lar and Alin Gavreliuc and Mariana Martin and Zhang Jianxin and Shaobo Lv and Ronald Fischer and Taciano L Milfont and Ana Torres and Leoncio Camino and Robert Kreuzbauer and Nicolay Gausel and Johanna H Buitendach and Flávia Cristina Silveira Lemos and Immo Fritsche and Bettina Möller and Charles Harb and Aune Valk and Agustín Espinosa and Jas Laile Jaafar and Masaki Yuki and M Cristina Ferreira and Phatthanakit Chobthamkit and Márta Fülöp and Aneta Chybicka and Qian Wang and Michael Harris Bond and Roberto González and Nicolas Didier and Diego Carrasco and Maria Paz Cadena and Siugmin Lay and Ragna B Garðarsdóttir and George Nizharadze and Tom Pyszczynski and Pelin Kesebir and Ginette Herman and Isabelle de Sauvage and Marie Courtois and David Bourguignon and Emre Özgen and Ülku E Güner and Nil Yamakoğlu and Sami Abuhamdeh and Andrew Mogaji and Ma Elizabeth J Macapagal and Silvia H Koller and Benjamin Amponsah and Girishwar Misra and Preeti Kapur and Elvia Vargas Trujillo and Paola Balanta and Boris Cendales Ayala and Inge Schweiger Gallo and Paula Prieto Gil and Raquel Lorente Clemares and Gabriella Campara and Baland Jalal";"http://earsiv.sehir.edu.tr:8080/xmlui/bitstream/handle/11498/29451/000120064010.pdf?sequence=1"
2778;"Elizabeth Pattey";"Research Scientist, Agriculture and Agri-Fodd Canada";7167;"The rate of carbon change in agricultural soils in Canada at the landscape level";"1997";62;"WN Smith and P Rochette and C Monreal and RL Desjardins and E Pattey and A Jaques";""
2779;"Dr. Manoj Kumar Jhariya";"Assistant Professor, Department of Farm Forestry, Sant Gahira Guru Vishwavidyalaya, Sarguja";469;"Bund Based Agroforestry Using Eucalyptus Species: A Review";"1970";7;"A Raj and MK Jhariya and SS Bargali";"http://www.agriculturejournal.org/volume4number2/bund-based-agroforestry-using-eucalyptus-species-a-review/"
2780;"Sarmad Hussain";"Professor, Center for Language Engineering, KICS-UET";52804;"Perspective of plant growth promoting rhizobacteria (PGPR) containing ACC deaminase in stress agriculture";"2007";473;"Muhammad Saleem and Muhammad Arshad and Sarfraz Hussain and Ahmad Saeed Bhatti";"https://www.researchgate.net/profile/Muhammad_Saleem22/publication/6174405_Perspective_of_plant_growth_promoting_rhizobacteria_PGPR_containing_ACC_deaminase_in_stress_agriculture/links/09e41512b64990fa8c000000.pdf"
2781;"Ugur Yaramanci";"Berlin University of Technology em.";2556;"Numerical analysis of seismoelectric wave propagation in spatially confined geological units";"2014";12;"Bernd Kröger and Ugur Yaramanci and Andreas Kemna";"http://www.academia.edu/download/41781556/Numerical_analysis_of_seismoelectric_wav20160130-1327-r0n1n0.pdf"
2782;"Minggang Hu";"Xi'an Modern Chemistry Research Institute";293;"Photoalignment-induced two-dimensional liquid crystal polarization structure via multi-beam polarization interferometry";"2018";2;"Yue Shi and Yan Jun Liu and Feng Song and Vladimir G Chigrinov and Hoi-Sing Kwok and Minggang Hu and Dan Luo and Xiao Wei Sun";"https://www.osapublishing.org/viewmedia.cfm?uri=oe-26-6-7683&seq=0"
2783;"NanShan Chang";"Unknown affiliation";3489;"Prc contributes to Escherichia coli evasion of classical complement-mediated serum killing";"2012";21;"Chin-Ya Wang and Shainn-Wei Wang and Wen-Chun Huang and Kwang Sik Kim and Nan-Shan Chang and Ying-Hsiang Wang and Meng-Hsing Wu and Ching-Hao Teng";"https://iai.asm.org/content/iai/80/10/3399.full.pdf"
2784;"Fajer Mushtaq";"PhD student, ETH Zurich";459;"Piezoelectrically Enhanced Photocatalysis with BiFeO3 Nanostructures for Efficient Water Remediation";"2018";8;"Fajer Mushtaq and Xiangzhong Chen and Marcus Hoop and Harun Torlakcik and Eva Pellicer and Jordi Sort and Chiara Gattinoni and Bradley J Nelson and Salvador Pané";"https://www.sciencedirect.com/science/article/pii/S2589004218300798"
2785;"Hiroshi KIHIRA";"NSRI (Nippon Steel & Sumikin Research Institute Corporation)";1572;"Solid polymer type fuel cell separator and method of production of same";"2012";8;"";""
2786;"Kenneth Loh";"University of California, San Diego";4119;"In situ phase change characterization of PVDF thin films using Raman spectroscopy";"2014";9;"Miranda T Riosbaas and Kenneth J Loh and Greg O'Bryan and Bryan R Loyola";"https://www.researchgate.net/profile/Kenneth_Loh/publication/269323241_In_Situ_Phase_Change_Characterization_of_PVDF_Thin_Films_using_Raman_Spectroscopy/links/5672193f08ae54b5e45fbb28.pdf"
2787;"Takeshi Bamba";"Medical Institute of Bioregulation, Kyushu University";5425;"In Vivo 15N‐Enrichment of Metabolites in Suspension Cultured Cells and Its Application to Metabolomics";"1970";39;"Kazuo Harada and Eiichiro Fukusaki and Takeshi Bamba and Fumihiko Sato and Akio Kobayashi";""
